"","Airport","Airline","Age","Gender","Nationality","TripPurpose","TripDuration","FlyingCompanion","ProvinceResidence","NoTripsLastYear","FrequentFlightDestination","Destination","DepartureTime","SeatClass","Airfare","NoTransport","ModeTransport","AccessTime","Occupation","Income"
"294","2","2",43,"1","Foreign","Other",7,0,"Others",10,"Japan","Japan","3","Economic",18,2,"Public",120,"Other","00"
"295","2","4",39,"2","Foreign","Other",1,1,"Others",0,"China","China","3","Economic",55.25,1,"Personal",50,"w/income","30~150"
"296","2","2",21,"2","Foreign","Leisure",4,1,"Others",0,"Others","Japan","3","Economic",50,1,"Personal",40,"no income","<=30"
"297","2","4",22,"2","Foreign","Leisure",3,2,"Others",0,"SA","Japan","3","Economic",40,2,"Public",20,"no income","<=30"
"298","2","4",25,"2","Foreign","Other",3,0,"Others",0,"China","China","3","Economic",55.25,1,"Public",180,"w/income","<=30"
"299","2","4",66,"1","Foreign","Leisure",4,1,"Others",1,"Japan","Japan","2","Economic",77,2,"Public",20,"w/income","30~150"
"300","2","2",43,"1","Foreign","Other",365,0,"Others",2,"Japan","Japan","2","Economic",40,1,"Air",40,"w/income","30~150"
"301","2","2",43,"1","Foreign","Other",365,0,"Others",10,"Japan","Japan","2","Economic",33,1,"Public",50,"w/income","30~150"
"302","2","4",41,"1","Korean","Other",7,1,"Others",5,"China","China","2","Economic",33,1,"Public",180,"w/income","30~150"
"303","2","3",33,"1","Korean","Leisure",3,4,"Others",2,"China","Other","1","Economic",39,1,"Public",50,"w/income","30~150"
"304","2","4",37,"2","Foreign","Other",99,0,"Others",2,"Japan","Japan","2","Economic",42,1,"Personal",40,"no income","30~150"
"305","2","4",23,"2","Foreign","Leisure",4,3,"Others",2,"Japan","China","3","Economic",20,1,"Public",50,"no income","150~200>"
"306","2","1",28,"1","Korean","Leisure",4,20,"Others",1,"Others","China","2","Other",37,1,"Public",40,"w/income","30~150"
"307","2","1",21,"1","Foreign","Other",99,2,"Others",4,"Japan","China","2","Economic",52,1,"Personal",40,"no income","00"
"308","2","1",28,"2","Foreign","Other",365,2,"Others",2,"China","China","2","Economic",52,1,"Personal",40,"w/income","30~150"
"309","2","4",29,"2","Foreign","Leisure",3,3,"Others",0,"China","China","3","Economic",55.25,2,"Public",180,"w/income","<=30"
"310","2","4",29,"2","Foreign","Other",3,3,"Others",0,"China","China","3","Economic",55.25,2,"Public",180,"w/income","<=30"
