Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
ICN,Korean,>50,1,1,Leisure,4,11,3,1,1,3,2,1,52,1,1,1630,76,12,NA
ICN,Foreign,<=50,2,1,Leisure,15,3,3,2,2,3,1,1,40,1,5,1630,76,2,2
ICN,Korean,<=50,2,1,Leisure,4,2,3,2,2,2,4,1,48,1,5,1630,76,12,NA
ICN,Korean,<=50,2,1,Leisure,10,3,3,1,1,3,3,1,100,2,5,20,76,12,NA
ICN,Korean,<=50,2,1,Leisure,3,2,3,2,1,3,3,1,52,1,6,1630,76,12,2
ICN,Korean,<=50,2,2,Leisure,20,1,3,1,0,1,3,1,52,1,1,17667,90,3,3
ICN,Korean,<=50,2,1,Leisure,4,2,3,2,4,3,3,1,50,1,1,4157,60,5,4
ICN,Korean,<=50,2,1,Business,99,1,3,2,1,2,4,1,30,2,3,1050,20,12,NA
ICN,Korean,<=50,2,1,Leisure,15,1,3,2,1,2,3,1,36,2,3,1050,30,12,NA
ICN,Korean,>50,2,1,Leisure,3,6,3,1,1,1,3,1,26,1,9,1630,76,9,1
ICN,Foreign,>50,2,1,Leisure,7,4,3,1,1,3,4,1,50,1,1,17667,90,2,2
ICN,Korean,<=50,2,1,Leisure,4,3,3,1,1,3,3,1,52,1,5,1630,76,12,2
ICN,Korean,>50,2,1,Leisure,3,4,3,1,1,1,3,1,26,1,5,12642,120,9,1
ICN,Foreign,<=50,2,1,Leisure,4,3,3,2,3,3,3,1,20,3,2,1630,76,12,NA
ICN,Korean,<=50,1,1,Leisure,5,1,4,2,3,3,2,1,52,2,8,10600,60,1,3
ICN,Korean,<=50,1,1,Business,15,1,4,2,3,1,2,1,26,3,2,11000,10,12,NA
ICN,Korean,<=50,1,1,Leisure,5,2,4,2,1,3,2,2,75,2,8,10600,155,12,NA
ICN,Korean,<=50,2,1,Leisure,5,2,4,2,1,3,2,2,75,2,8,14000,40,12,NA
ICN,Korean,<=50,1,1,Leisure,5,1,4,2,1,3,3,1,35,2,8,10600,155,12,NA
ICN,Korean,<=50,1,4,Business,150,0,4,2,0,3,4,1,50,1,4,10600,155,8,NA
ICN,Korean,>50,1,1,Leisure,5,2,4,2,0,1,4,1,49,1,7,6800,65,12,NA
ICN,Korean,>50,2,1,Leisure,5,1,5,1,2,3,3,1,52,2,10,90000,60,12,NA
ICN,Korean,<=50,1,1,Leisure,5,2,5,2,1,3,3,1,52,2,2,7500,30,12,NA
ICN,Korean,<=50,2,1,Leisure,45,2,5,2,1,4,2,1,140,2,7,17900,180,12,NA
ICN,Korean,<=50,2,1,Leisure,6,2,5,2,1,3,3,1,40,2,2,7500,10,12,NA
ICN,Korean,>50,1,4,Business,140,1,5,2,10,3,3,1,52,2,10,50000,60,12,NA
ICN,Korean,<=50,2,1,Leisure,5,2,5,2,122,3,2,1,64,2,8,48000,90,12,NA
ICN,Korean,<=50,1,1,Business,180,1,5,2,4,2,3,1,67,2,8,50000,311,12,NA
ICN,Korean,<=50,1,2,Business,30,1,5,2,12,1,3,1,48,3,4,52000,311,2,2
ICN,Foreign,<=50,1,1,Business,8,10,5,2,5,1,2,2,120,3,1,6050,10,12,NA
ICN,Korean,<=50,1,1,Leisure,5,1,5,2,10,3,2,1,65,3,1,1800,30,12,NA
ICN,Foreign,<=50,1,1,Leisure,0,5,5,2,0,3,2,2,30,3,2,10000,30,12,NA
